ID_P ID_UNP
16VP P06492
16VP P06492
16VP P06492
19HC Q9RN68
19HC Q9RN68
19HC Q9RN68
19HC Q9RN68
19HC Q9RN68
19HC Q9RN68
19HC Q9RN68
19HC Q9RN68
19HC Q9RN68
19HC Q9RN68
19HC Q9RN68
1A0A P07270
1A0A P07270
1A0C P19148
1A0C P19148
1A0C P19148
1A0C P19148
1A0C P19148
1A0C P19148
1A0C P19148
1A0I P00969
1A0I P00969
1A0I P00969
1A0I P00969
1A0I P00969
1A0I P00969
1A0I P00969
1A0I P00969
1A0P P0A8P8
1A0P P0A8P8
1A0T P22340
1A0T P22340
1A0T P22340
1A0T P22340
1A0T P22340
1A0T P22340
1A0T P22340
1A0T P22340
1A0T P22340
1A0T P22340
1A0T P22340
1A0T P22340
1A12 P18754
1A12 P18754
1A12 P18754
1A12 P18754
1A12 P18754
1A12 P18754
1A12 P18754
1A12 P18754
1A12 P18754
1A12 P18754
1A1I P08046
1A1X P56278
1A1X P56278
1A2P P00648
1A34 P17574
1A34 P17574
1A34 P17574
1A34 P17574
1A34 P17574
1A34 P17574
1A3A P00550
1A3A P00550
1A3C P39765
1A3C P39765
1A41 P68698
1A41 P68698
1A41 P68698
1A5T P28631
1A5T P28631
1A5T P28631
1A5T P28631
1A5T P28631
1A5T P28631
1A5T P28631
1A62 P0AG30
1A62 P0AG30
1A6F P25814
1A6F P25814
1A6J P69829
1A6J P69829
1A6Z Q30201
1A6Z Q30201
1A6Z Q30201
1A6Z Q30201
1A6Z Q30201
1A73 Q94702
1A73 Q94702
1A73 Q94702
1A73 Q94702
1A7S P20160
1A7S P20160
1A7S P20160
1A7S P20160
1A7S P20160
1A7S P20160
1A7S P20160
1A7T P25910
1A7T P25910
1A7T P25910
1A7T P25910
1A7T P25910
1A8D P04958
1A8D P04958
1A8D P04958
1A8D P04958
1A8D P04958
1A8D P04958
1A8D P04958
1A8D P04958
1A8D P04958
1A8D P04958
1A8D P04958
1A8D P04958
1A8D P04958
1A8D P04958
1A8D P04958
1A8D P04958
