ID_PDB_PU	Pos_PU_ori	Pos_PU_struc_PDB	Pos_PU_seq_PDB	Pos_PU_UNP	ID_UNP
16VPA_10_189_206	189_206	235_252	189_206	235_252	P06492
16VPA_10_242_273	242_273	288_319	242_273	288_319	P06492
16VPA_10_85_117	85_117	131_163	85_117	131_163	P06492
16VPA_1_137_168	137_168	183_214	137_168	183_214	P06492
19HCA_10_137_166	137_166	137_166	137_166	167_196	Q9RN68
1A04A_2_179_205	179_205	180_206	179_205	180_206	P0AF28
1A04A_3_123_138	123_138	124_139	123_138	124_139	P0AF28
1A04A_3_139_160	139_160	140_161	139_160	140_161	P0AF28
1A04A_4_1_55	1_55	5_56	1_55	2_56	P0AF28
1A04A_5_56_76	56_76	57_77	56_76	57_77	P0AF28
1A04A_5_77_106	77_106	78_107	77_106	78_107	P0AF28
1A04A_7_1_18	1_18	5_19	1_18	2_19	P0AF28
1A0CA_12_310_329	310_329	310_329	310_329	311_330	P19148
1A0IA_10_275_304	275_304	276_305	275_304	276_305	P00969
1A0PA_10_107_135	107_135	111_137	107_135	109_137	P0A8P8
1A0PA_10_49_69	49_69	51_71	49_69	51_71	P0A8P8
1A12A_10_271_293	271_293	279_301	271_293	279_301	P18754
1A12A_11_150_171	150_171	158_179	150_171	158_179	P18754
1A17A_3_94_125	94_125	109_140	94_125	109_140	P53041
1A2PA_2_73_108	73_108	73_108	73_108	120_155	P00648
1A3AA_2_109_130	109_130	109_130	109_130	598_619	P00550
1A3CA_5_33_63	33_63	34_63	33_63	33_63	P39765
1A41A_2_1_48	1_48	81_128	1_48	81_128	P68698
1A41A_3_18_48	18_48	98_128	18_48	98_128	P68698
1A41A_5_138_178	138_178	218_258	138_178	218_258	P68698
1A41A_5_179_205	179_205	259_285	179_205	259_285	P68698
1A59A_10_76_107	76_107	76_107	76_107	77_108	O34002
1A59A_5_76_122	76_122	76_122	76_122	77_123	O34002
1A5TA_10_109_144	109_144	109_144	109_144	109_144	P28631
1A5TA_10_1_23	1_23	1_23	1_23	1_23	P28631
1A5TA_10_282_309	282_309	282_309	282_309	282_309	P28631
