All-alpha 16VPA_10_189_206	P06492_235_252
Alpha-beta 16VPA_10_242_273	P06492_288_319
Alpha-beta 16VPA_10_85_117	P06492_131_163
Alpha-beta 16VPA_1_137_168	P06492_183_214
All-alpha 19HCA_10_137_166	Q9RN68_167_196
All-alpha 1A04A_2_179_205	P0AF28_180_206
Alpha-beta 1A04A_3_123_138	P0AF28_124_139
All-alpha 1A04A_3_139_160	P0AF28_140_161
Alpha-beta 1A04A_4_1_55	P0AF28_2_56
All-alpha 1A04A_5_56_76	P0AF28_57_77
Alpha-beta 1A04A_5_77_106	P0AF28_78_107
Alpha-beta 1A04A_7_1_18	P0AF28_2_19
All-alpha 1A0CA_12_310_329	P19148_311_330
Alpha-beta 1A0IA_10_275_304	P00969_276_305
All-alpha 1A0PA_10_107_135	P0A8P8_109_137
All-alpha 1A0PA_10_49_69	P0A8P8_51_71
All-beta 1A12A_10_271_293	P18754_279_301
All-beta 1A12A_11_150_171	P18754_158_179
All-alpha 1A17A_3_94_125	P53041_109_140
All-beta 1A2PA_2_73_108	P00648_120_155
All-alpha 1A3AA_2_109_130	P00550_598_619
Alpha-beta 1A3CA_5_33_63	P39765_33_63
All-alpha 1A41A_2_1_48	P68698_81_128
All-alpha 1A41A_3_18_48	P68698_98_128
Alpha-beta 1A41A_5_138_178	P68698_218_258
All-alpha 1A41A_5_179_205	P68698_259_285
All-alpha 1A59A_10_76_107	O34002_77_108
All-alpha 1A59A_5_76_122	O34002_77_123
Alpha-beta 1A5TA_10_109_144	P28631_109_144
All-alpha 1A5TA_10_1_23	P28631_1_23
All-alpha 1A5TA_10_282_309	P28631_282_309
All-alpha 1A6JA_3_18_54	P69829_18_54
All-alpha 1A6ZA_3_48_86	Q30201_70_108
All-beta 1A7TA_2_1_39	P25910_18_56
Alpha-beta 1A7TA_6_70_100	P25910_87_117
Alpha-beta 1A9XA_13_406_447	P00968_406_447
Alpha-beta 1A9XB_10_189_221	P0A6F1_190_222
All-alpha 1AEPA_1_1_47	P10762_20_66
All-alpha 1AEPA_2_79_124	P10762_98_142
Alpha-beta 1AF7A_10_105_155	P07801_115_165
All-alpha 1AISB_4_100_138	P61999_200_238
Alpha-beta 1AISB_6_43_83	P61999_143_183
All-alpha 1AISB_7_139_178	P61999_239_278
All-alpha 1AK0A_2_196_231	P24289_196_231
All-alpha 1AKOA_2_110_140	P09030_110_140
All-alpha 1ALUA_2_1_33	P05231_27_59
Alpha-beta 1ATGA_1_190_231	Q7SIH2_190_231
All-alpha 1B0NA_3_1_42	P06533_1_42
Alpha-beta 1B4FA_3_1_17	P29323_905_921
All-alpha 1BCPD_1_60_76	P0A3R5_102_118
All-alpha 1BD3A_2_1_18	Q26998_2_19
Alpha-beta 1BD3A_5_145_199	Q26998_146_200
All-alpha 1BMTA_10_17_32	P13009_667_682
All-beta 1BOBA_10_168_187	Q12341_168_187
All-alpha 1BOBA_10_268_288	Q12341_268_288
Alpha-beta 1BX4A_10_78_117	P55263_95_134
Alpha-beta 1BX4A_12_179_195	P55263_196_212
All-beta 1BXNI_3_78_100	P09658_78_100
Alpha-beta 1BYIA_10_159_174	P13000_160_175
Alpha-beta 1BYWA_1_1_39	Q12809_26_64
All-alpha 1C7NA_10_272_289	Q56257_272_289
All-alpha 1C7NA_10_332_353	Q56257_332_353
Alpha-beta 1C7NA_6_290_331	Q56257_290_331
All-alpha 1C7SA_10_436_451	Q54468_463_478
Alpha-beta 1C7SA_10_493_509	Q54468_520_536
Alpha-beta 1C7SA_10_567_610	Q54468_594_637
Alpha-beta 1CG2A_10_159_175	P06621_181_197
All-alpha 1CHKA_6_94_118	P33665_134_158
Alpha-beta 1CHMA_14_40_57	P38488_41_58
All-alpha 1COLA_1_70_129	Q47108_70_129
All-alpha 1CPQA_3_16_49	P00147_16_49
