ID_P ID_UNP
16VP P06492
16VP P06492
16VP P06492
16VP P06492
19HC Q9RN68
1A04 P0AF28
1A04 P0AF28
1A04 P0AF28
1A04 P0AF28
1A04 P0AF28
1A04 P0AF28
1A04 P0AF28
1A0C P19148
1A0I P00969
1A0P P0A8P8
1A0P P0A8P8
1A12 P18754
1A12 P18754
1A17 P53041
1A2P P00648
1A3A P00550
1A3C P39765
1A41 P68698
1A41 P68698
1A41 P68698
1A41 P68698
1A59 O34002
1A59 O34002
1A5T P28631
1A5T P28631
1A5T P28631
1A6J P69829
1A6Z Q30201
1A7T P25910
1A7T P25910
1A9X P00968
1A9X P0A6F1
1AEP P10762
1AEP P10762
1AF7 P07801
1AIS P61999
1AIS P61999
1AIS P61999
1AK0 P24289
1AKO P09030
1ALU P05231
1ATG Q7SIH2
1B0N P06533
1B4F P29323
1BCP P0A3R5
1BD3 Q26998
1BMT P13009
1BOB Q12341
1BOB Q12341
1BX4 P55263
1BX4 P55263
1BXN P09658
1BYI P13000
1BYW Q12809
1C7N Q56257
1C7N Q56257
1C7N Q56257
1C7S Q54468
1C7S Q54468
1C7S Q54468
1CG2 P06621
1CHK P33665
1CHM P38488
1COL Q47108
1CPQ P00147
1CPY P00729
1CQX P39662
1CQX P39662
1CQX P39662
1CQX P39662
1CR1 P03692
1CR1 P03692
1CR5 P18759
1CRU P13650
1CRU P13650
1CRU P13650
1CS1 P00935
1CS1 P00935
1CS1 P00935
1CS6 P28685
1CS6 P28685
1CS6 P28685
1CSE P01051
1CSH P23007
1CSH P23007
1CSH P23007
1CSK P41240
1CT5 P38197
1CT5 P38197
1CT9 P22106
1CT9 P22106
1CT9 P22106
1CUK P0A809
1CV8 P81297
1CV8 P81297
1CVR P95493
1CVR P95493
1CVR P95493
1CWV P11922
1CWV P11922
1CWV P11922
1CWV P11922
1CYD P08074
1CYD P08074
1CZP P0A3C8
1CZP P0A3C8
1D02 P43642
1D2F P23256
1D2N P18708
1D2Z Q05652
1D3Y Q57815
1D7O P80030
1D8W P32170
